"field_name","cd_type","cd_ref","cd_default","cd_enum","cd_index","flag_array"
"user_id","ObjectId","user","","","",""
"mobile_number","String","","","","",""
"alt_mobile","String","","","","",""
"first_name","String","","","","",""
"last_name","String","","","","",""
"gender","String","","","['M', 'F', 'O']","",""
"user_pin","String","","","","",""
"registered_on","Boolean","","","","",""
"mobile_verification_otp","Number","","","","",""
"flag_mobile_verified","Boolean","","","","",""
"flag_blocked","Boolean","","","","",""
"primary_lat","Number","","","","",""
"primary_lng","Number","","","","",""
"city_name","String","","","","",""
"country_name","String","","","","",""
"user_code","String","","","","",""
"user_photo_url","String","","","","",""
"clevertap_id","String","","","","",""
"active_sessions","ActiveSessionSchema","","","","","1"
